高さ,行政区域,名称,住所,施設の種類,収容人数,施設規模,対象とする災害の分類,レベル,lon,lat
12.5,13229,東伏見小学校,東京都西東京市東伏見6-1-28,避難所,1018,,指定なし,1,139.5592574,35.72594899
17.4,13229,日本文華学園,東京都西東京市西原町4-5-85,避難所,168,,指定なし,3,139.530217,35.73820699
9.1,13229,富士町福祉会館,東京都西東京市富士町6-6-13,二次避難所,,,指定なし,1,139.5569024,35.73006598
17.6,13229,武蔵野女子学院,東京都西東京市新町1-1-20,避難所,1596,,指定なし,1,139.5469533,35.71831099
15.8,13229,碧山小学校,東京都西東京市中町5-11-4,避難所,1102,,指定なし,1,139.5630345,35.73833697
27.5,13229,保谷駅前公民館,東京都西東京市東町3-14-30,避難所,84,,指定なし,1,139.5674645,35.74787882
12.3,13229,保谷小学校,東京都西東京市保谷町1-3-35,避難所,952,,指定なし,1,139.554795,35.7372988
4.9,13229,保谷障害者福祉センター,東京都西東京市保谷町1-6-20,二次避難所,,,指定なし,1,139.5563264,35.73459798
11.9,13229,保谷第一小学校,東京都西東京市下保谷1-4-4,避難所,877,,指定なし,1,139.5580065,35.74989095
16.6,13229,保谷第二小学校,東京都西東京市柳沢4-2-11,避難所,1134,,指定なし,1,139.5505644,35.72028299
14.9,13229,保谷中学校,東京都西東京市保谷町1-17-4,避難所,1758,,指定なし,1,139.5566484,35.73356498
14.6,13229,本町小学校,東京都西東京市保谷町1-14-23,避難所,945,,指定なし,1,139.5557215,35.7327566
15.7,13229,明保中学校,東京都西東京市東町1-1-24,避難所,1201,,指定なし,1,139.5626735,35.74283597
6.6,13229,柳沢公民館,東京都西東京市柳沢1-15-1,避難所,243,,指定なし,1,139.5539524,35.72833798
13.7,13229,柳沢小学校,東京都西東京市南町2-12-37,避難所,924,,指定なし,1,139.5477864,35.72203299
15.9,13229,柳沢中学校,東京都西東京市柳沢3-8-22,避難所,1064,,指定なし,1,139.5525364,35.72056099
12,13229,老人憩いの家「おあしす」,東京都西東京市南町3-18-40,二次避難所,,,指定なし,1,139.5427233,35.72249699
