lat,lon,station_id,rental_uris,parking_hoop,parking_type,contact_phone,is_charging_station,vehicle_type_capacity
35.707252,139.777587,17,"{'ios': 'https://www.hellocycling.jp/app/port/detail/17?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/17?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/17?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 7, 'num_bikes_limit': 8, 'num_bikes_parkable': 1, 'num_bikes_rentalable': 7}"
35.84437103,139.6588234,26,"{'ios': 'https://www.hellocycling.jp/app/port/detail/26?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/26?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/26?referrer=odpt'}",FALSE,street_parking,8.10504E+12,TRUE,"{'num_bikes_now': 7, 'num_bikes_limit': 10, 'num_bikes_parkable': 3, 'num_bikes_rentalable': 4}"
35.890588,139.730801,39,"{'ios': 'https://www.hellocycling.jp/app/port/detail/39?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/39?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/39?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 3, 'num_bikes_limit': 7, 'num_bikes_parkable': 4, 'num_bikes_rentalable': 1}"
35.892394,139.730709,40,"{'ios': 'https://www.hellocycling.jp/app/port/detail/40?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/40?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/40?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 1, 'num_bikes_limit': 7, 'num_bikes_parkable': 6, 'num_bikes_rentalable': 1}"
35.889631,139.718152,41,"{'ios': 'https://www.hellocycling.jp/app/port/detail/41?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/41?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/41?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 4, 'num_bikes_limit': 4, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 4}"
35.6546215,139.7597654,75,"{'ios': 'https://www.hellocycling.jp/app/port/detail/75?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/75?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/75?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 3, 'num_bikes_limit': 12, 'num_bikes_parkable': 9, 'num_bikes_rentalable': 2}"
35.681758,139.578239,76,"{'ios': 'https://www.hellocycling.jp/app/port/detail/76?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/76?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/76?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 2, 'num_bikes_limit': 3, 'num_bikes_parkable': 1, 'num_bikes_rentalable': 2}"
35.734776,139.694862,77,"{'ios': 'https://www.hellocycling.jp/app/port/detail/77?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/77?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/77?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 4, 'num_bikes_limit': 4, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 3}"
35.707615,139.737392,79,"{'ios': 'https://www.hellocycling.jp/app/port/detail/79?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/79?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/79?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 3, 'num_bikes_limit': 3, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 3}"
35.670067,139.477258,81,"{'ios': 'https://www.hellocycling.jp/app/port/detail/81?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/81?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/81?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 3, 'num_bikes_limit': 3, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 3}"
35.74860859,139.5844625,110,"{'ios': 'https://www.hellocycling.jp/app/port/detail/110?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/110?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/110?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 4, 'num_bikes_limit': 4, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 4}"
35.636521,139.588661,112,"{'ios': 'https://www.hellocycling.jp/app/port/detail/112?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/112?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/112?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 2, 'num_bikes_limit': 2, 'num_bikes_parkable': 0, 'num_bikes_rentalable': 2}"
35.626882,139.643571,118,"{'ios': 'https://www.hellocycling.jp/app/port/detail/118?referrer=odpt', 'web': 'https://www.hellocycling.jp/app/port/detail/118?referrer=odpt', 'android': 'https://www.hellocycling.jp/app/port/detail/118?referrer=odpt'}",FALSE,street_parking,8.10504E+12,FALSE,"{'num_bikes_now': 2, 'num_bikes_limit': 4, 'num_bikes_parkable': 2, 'num_bikes_rentalable': 1}"
