Vote_rate,Electrates,Type,Year
38.66,169253,市議,2022
36.84,165942,市議,2018
40.77,159275,市議,2014
41.12,156325,市議,2010
41.82,153476,市議,2006
42.6,145319,市議,2002
42.23,168858,市長,2021
32.9,164271,市長,2017
36.93,158578,市長,2013
37.19,155001,市長,2009
45.69,149864,市長,2005
49.64,142529,市長,2001
